sample	unit	library	flowcell	platform	barcode	sample_id	lane	fq1	fq2	kb1	kb2
001	1	nonRNAse	HMKFTDSX5	ILLUMINA	M076179_nonRNAsed	M076179_nonRNAsed	1	data/M076179_M770_1F_S48_L001_R1_001.fastq.gz	data/M076179_M770_1F_S48_L001_R2_001.fastq.gz	5832838	6228752
002	1	nonRNAse	HMKFTDSX5	ILLUMINA	M077594_nonRNAsed	M077594_nonRNAsed	1	data/M077594_M785_8F_S49_L001_R1_001.fastq.gz	data/M077594_M785_8F_S49_L001_R2_001.fastq.gz	8798988	9192177
003	1	nonRNAse	HMKFTDSX5	ILLUMINA	M077799_nonRNAsed	M077799_nonRNAsed	1	data/M077799_M787_10C_S50_L001_R1_001.fastq.gz	data/M077799_M787_10C_S50_L001_R2_001.fastq.gz	5648514	5904655
004	1	nonRNAse	HMKFTDSX5	ILLUMINA	M077919_nonRNAsed	M077919_nonRNAsed	1	data/M077919_M789_1C_S51_L001_R1_001.fastq.gz	data/M077919_M789_1C_S51_L001_R2_001.fastq.gz	6208217	6642261
005	1	nonRNAse	HMKFTDSX5	ILLUMINA	M078795_nonRNAsed	M078795_nonRNAsed	1	data/M078795_M798_2G_S47_L001_R1_001.fastq.gz	data/M078795_M798_2G_S47_L001_R2_001.fastq.gz	4791734	5046737
