sample	unit	library	flowcell	platform	barcode	sample_id	lane	fq1	fq2	kb1	kb2
s0132	1	R379-4	HT5V2DSX3	ILLUMINA	R036075-R379	R036075	4	data/NVS150A_R1_Columbus/R036075_R379_5D_S100_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036075_R379_5D_S100_L004_R2_001.fastq.gz	1566995.848	1648017.9
s0133	1	R379-4	HT5V2DSX3	ILLUMINA	R036076-R379	R036076	4	data/NVS150A_R1_Columbus/R036076_R379_5E_S101_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036076_R379_5E_S101_L004_R2_001.fastq.gz	1166132.027	1195094.304
s0134	1	R379-4	HT5V2DSX3	ILLUMINA	R036077-R379	R036077	4	data/NVS150A_R1_Columbus/R036077_R379_5F_S102_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036077_R379_5F_S102_L004_R2_001.fastq.gz	1463647.219	1500493.888
s0135	1	R379-4	HT5V2DSX3	ILLUMINA	R036078-R379	R036078	4	data/NVS150A_R1_Columbus/R036078_R379_5G_S103_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036078_R379_5G_S103_L004_R2_001.fastq.gz	1509319.762	1567634.039
s0136	1	R379-4	HT5V2DSX3	ILLUMINA	R036079-R379	R036079	4	data/NVS150A_R1_Columbus/R036079_R379_5H_S104_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036079_R379_5H_S104_L004_R2_001.fastq.gz	1438781.294	1451973.271
s0137	1	R379-4	HT5V2DSX3	ILLUMINA	R036080-R379	R036080	4	data/NVS150A_R1_Columbus/R036080_R379_6A_S105_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036080_R379_6A_S105_L004_R2_001.fastq.gz	1148501.068	1177396.682
s0138	1	R379-4	HT5V2DSX3	ILLUMINA	R036081-R379	R036081	4	data/NVS150A_R1_Columbus/R036081_R379_6B_S106_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036081_R379_6B_S106_L004_R2_001.fastq.gz	1704616.921	1758320.818
s0139	1	R379-4	HT5V2DSX3	ILLUMINA	R036082-R379	R036082	4	data/NVS150A_R1_Columbus/R036082_R379_6C_S107_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036082_R379_6C_S107_L004_R2_001.fastq.gz	1476281.266	1510980.89
s0140	1	R379-4	HT5V2DSX3	ILLUMINA	R036083-R379	R036083	4	data/NVS150A_R1_Columbus/R036083_R379_6D_S108_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036083_R379_6D_S108_L004_R2_001.fastq.gz	1177592.679	1233778.878
s0141	1	R379-4	HT5V2DSX3	ILLUMINA	R036084-R379	R036084	4	data/NVS150A_R1_Columbus/R036084_R379_6E_S109_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036084_R379_6E_S109_L004_R2_001.fastq.gz	1248675.764	1319323.297
s0142	1	R379-4	HT5V2DSX3	ILLUMINA	R036085-R379	R036085	4	data/NVS150A_R1_Columbus/R036085_R379_6F_S110_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036085_R379_6F_S110_L004_R2_001.fastq.gz	1442221.193	1486466.687
s0143	1	R379-4	HT5V2DSX3	ILLUMINA	R036086-R379	R036086	4	data/NVS150A_R1_Columbus/R036086_R379_6G_S111_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036086_R379_6G_S111_L004_R2_001.fastq.gz	1220928.753	1265604.235
s0144	1	R379-4	HT5V2DSX3	ILLUMINA	R036087-R379	R036087	4	data/NVS150A_R1_Columbus/R036087_R379_6H_S112_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036087_R379_6H_S112_L004_R2_001.fastq.gz	1230640.273	1292701.533
s0145	1	R379-4	HT5V2DSX3	ILLUMINA	R036088-R379	R036088	4	data/NVS150A_R1_Columbus/R036088_R379_7A_S113_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036088_R379_7A_S113_L004_R2_001.fastq.gz	978744.127	1022710.072
s0146	1	R379-4	HT5V2DSX3	ILLUMINA	R036089-R379	R036089	4	data/NVS150A_R1_Columbus/R036089_R379_7B_S114_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036089_R379_7B_S114_L004_R2_001.fastq.gz	1296436.57	1351671.078
s0147	1	R379-4	HT5V2DSX3	ILLUMINA	R036090-R379	R036090	4	data/NVS150A_R1_Columbus/R036090_R379_7C_S115_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036090_R379_7C_S115_L004_R2_001.fastq.gz	1952909.414	2020577.921
s0148	1	R379-4	HT5V2DSX3	ILLUMINA	R036091-R379	R036091	4	data/NVS150A_R1_Columbus/R036091_R379_7D_S116_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036091_R379_7D_S116_L004_R2_001.fastq.gz	1309241.24	1360398.707
s0149	1	R379-4	HT5V2DSX3	ILLUMINA	R036092-R379	R036092	4	data/NVS150A_R1_Columbus/R036092_R379_7E_S117_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036092_R379_7E_S117_L004_R2_001.fastq.gz	1258241.596	1278992.814
s0150	1	R379-4	HT5V2DSX3	ILLUMINA	R036093-R379	R036093	4	data/NVS150A_R1_Columbus/R036093_R379_7F_S118_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036093_R379_7F_S118_L004_R2_001.fastq.gz	1328464.296	1359247.106
s0151	1	R379-4	HT5V2DSX3	ILLUMINA	R036094-R379	R036094	4	data/NVS150A_R1_Columbus/R036094_R379_7G_S119_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036094_R379_7G_S119_L004_R2_001.fastq.gz	1492704.461	1534374.825
s0152	1	R379-4	HT5V2DSX3	ILLUMINA	R036095-R379	R036095	4	data/NVS150A_R1_Columbus/R036095_R379_7H_S120_L004_R1_001.fastq.gz	data/NVS150A_R2_Columbus/R036095_R379_7H_S120_L004_R2_001.fastq.gz	1467561.498	1534008.852
