843	1
675	1
588	1
581	1
567	1
499	1
491	1
475	1
469	1
468	1
445	1
442	1
437	1
433	1
432	1
421	1
385	1
384	1
381	3
373	1
369	1
368	1
349	1
307	1
305	1
297	1
296	1
293	1
291	1
289	1
284	1
283	1
277	1
275	2
264	1
255	2
254	2
252	1
248	1
247	1
246	1
245	1
244	2
242	1
238	1
233	2
230	1
228	1
221	1
219	2
218	1
217	2
214	2
212	1
211	5
209	2
207	1
205	1
202	1
199	1
195	2
194	1
191	3
189	1
183	1
180	1
178	1
176	1
175	6
174	2
173	6
172	2
171	5
170	3
169	2
168	1
164	3
163	1
162	2
160	3
159	2
158	1
157	3
156	2
155	4
153	1
149	1
146	2
145	2
144	1
142	1
141	1
139	1
138	1
135	3
134	2
131	9
130	3
129	23
128	3
127	8
126	11
125	3
124	6
123	1
122	4
121	1
120	1
119	4
118	4
117	2
116	8
115	8
114	12
113	5
112	1
111	4
110	2
109	4
108	5
107	1
106	2
105	2
104	3
102	3
101	1
100	1
98	4
97	2
96	3
94	3
93	9
91	3
89	3
88	6
87	3
86	3
85	860
84	18
83	124
82	95
81	27
80	27
79	97
78	30
77	30
76	35
75	31
74	59
73	40
72	22
71	17
70	37
69	14
68	17
67	14
66	25
65	92
64	25
63	30
62	27
61	14
60	15
59	11
58	13
57	12
56	19
55	12
54	11
53	7
52	8
51	7
50	11
49	3
48	2
47	8
46	8
45	1
44	1602
43	8
42	171
41	414
40	98
39	45
38	99
37	59
36	41
35	43
34	28
33	27
32	16
31	19
30	17
