sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
s0407	1	Plate2	H5M7NDRX2	ILLUMINA	1	21N0889	s0407-21N0889-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N0889_S51_L001_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N0889_S51_L001_R2_001.fastq.gz	100258.113	107884.898
s0407	2	Plate2	H5M7NDRX2	ILLUMINA	2	21N0889	s0407-21N0889-Plate2	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N0889_S51_L002_R1_001.fastq.gz	data/YEWA_transfer/YEWA_LCWG_Plate2_03212022_03312022/Rayne_7572_220328A7/21N0889_S51_L002_R2_001.fastq.gz	101729.442	109651.774
s0407	3	Plate3	HJWC3DSX5	ILLUMINA	3	21N0889	s0407-21N0889-Plate3	data/YEWA_redo_Novoseq_01032023/21N0889_S252_L003_R1_001.fastq.gz	data/YEWA_redo_Novoseq_01032023/21N0889_S252_L003_R2_001.fastq.gz	1215061.961	1196815.2
s0408	1	Plate1	HY3LMDSX2	ILLUMINA	3	3007ywar	s0408-3007ywar-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3007ywar/s3007ywar_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3007ywar/s3007ywar_2.fq.gz	1566405.908	1656463.042
s0409	1	Plate1	HY3LMDSX2	ILLUMINA	3	3010ywar	s0409-3010ywar-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3010ywar/s3010ywar_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3010ywar/s3010ywar_2.fq.gz	1175036.157	1239163.422
s0410	1	Plate1	HY3LMDSX2	ILLUMINA	3	3013ywar	s0410-3013ywar-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3013ywar/s3013ywar_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3013ywar/s3013ywar_2.fq.gz	1131341.986	1209237.389
s0411	1	Plate1	HY3LMDSX2	ILLUMINA	3	3014ywar	s0411-3014ywar-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3014ywar/s3014ywar_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3014ywar/s3014ywar_2.fq.gz	1309316.339	1367795.256
s0412	1	Plate1	HY3LMDSX2	ILLUMINA	3	3017ywar	s0412-3017ywar-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3017ywar/s3017ywar_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3017ywar/s3017ywar_2.fq.gz	1098479.768	1161309.748
s0413	1	Plate1	HY3LMDSX2	ILLUMINA	3	3018ywar	s0413-3018ywar-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3018ywar/s3018ywar_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3018ywar/s3018ywar_2.fq.gz	1163799.351	1235483.27
s0414	1	Plate1	HY3LMDSX2	ILLUMINA	3	3022ywar	s0414-3022ywar-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3022ywar/s3022ywar_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3022ywar/s3022ywar_2.fq.gz	1048830.409	1091347.331
s0415	1	Plate1	HY3LMDSX2	ILLUMINA	3	3023ywar	s0415-3023ywar-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3023ywar/s3023ywar_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3023ywar/s3023ywar_2.fq.gz	984195.514	1031543.386
s0416	1	Plate1	HY3LMDSX2	ILLUMINA	3	3503ywar	s0416-3503ywar-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3503ywar/s3503ywar_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3503ywar/s3503ywar_2.fq.gz	1456127.764	1488899.919
s0417	1	Plate1	HY3LMDSX2	ILLUMINA	3	3510ywar	s0417-3510ywar-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3510ywar/s3510ywar_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3510ywar/s3510ywar_2.fq.gz	1323021.212	1364207.346
s0418	1	Plate1	HY3LMDSX2	ILLUMINA	3	3513ywar	s0418-3513ywar-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3513ywar/s3513ywar_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3513ywar/s3513ywar_2.fq.gz	1337393.964	1425942.829
s0419	1	Plate1	HY3LMDSX2	ILLUMINA	3	3515ywar	s0419-3515ywar-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3515ywar/s3515ywar_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3515ywar/s3515ywar_2.fq.gz	1348994.49	1391235.522
s0420	1	Plate1	HY3LMDSX2	ILLUMINA	3	3516ywar	s0420-3516ywar-Plate1	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3516ywar/s3516ywar_1.fq.gz	data/YEWA_transfer/YEWA_LCWG_Plate1_11032021/raw_data/s3516ywar/s3516ywar_2.fq.gz	1486587.24	1597565.668
