vcf_name,ID_Berk,NMFS_DNA_ID,BOX_ID,BOX_POSITION,Population,Concentration (ng/ul),run_type
DPCh_plate1_E12_S60,CH_Plate1_12E,T145218,T1516,9D,Trinity River Hatchery Fall,48.8,Fall
DPCh_plate1_F01_S61,CH_Plate1_1F,T144782,T1512,2H,Salmon River Fall,6.3,Fall
DPCh_plate1_F02_S62,CH_Plate1_2F,T144844,T1512,10F,Salmon River Fall,40.8,Fall
DPCh_plate1_F03_S63,CH_Plate1_3F,T145115,T1515,8E,Salmon River Spring,43,Spring
DPCh_plate1_F04_S64,CH_Plate1_4F,T145124,T1515,9F,Salmon River Spring,24.6,Spring
DPCh_plate1_F05_S65,CH_Plate1_5F,T144896,T1513,5B,Feather River Hatchery Fall,89,Fall
DPCh_plate1_F06_S66,CH_Plate1_6F,T144951,T1513,12A,Feather River Hatchery Fall,119,Fall
DPCh_plate1_F07_S67,CH_Plate1_7F,T145139,T1515,11E,Feather River Hatchery Spring,106,Spring
DPCh_plate1_F08_S68,CH_Plate1_8F,T145148,T1515,12F,Feather River Hatchery Spring,122,Spring
DPCh_plate1_F09_S69,CH_Plate1_9F,T144969,T1514,2C,Trinity River Hatchery Spring,97.4,Spring
DPCh_plate1_F10_S70,CH_Plate1_10F,T144996,T1514,5F,Trinity River Hatchery Spring,81.4,Spring
DPCh_plate1_F11_S71,CH_Plate1_11F,T145171,T1516,3E,Trinity River Hatchery Fall,85.8,Fall
DPCh_plate1_F12_S72,CH_Plate1_12F,T145241,T1516,12C,Trinity River Hatchery Fall,74.6,Fall
DPCh_plate1_G01_S73,CH_Plate1_1G,T144790,T1512,3H,Salmon River Fall,38.8,Fall
DPCh_plate1_G02_S74,CH_Plate1_2G,T144847,T1512,11A,Salmon River Fall,78,Fall
DPCh_plate1_G03_S75,CH_Plate1_3G,T145116,T1515,8F,Salmon River Spring,2.12,Spring
DPCh_plate1_G04_S76,CH_Plate1_4G,T145125,T1515,9G,Salmon River Spring,5.8,Spring
DPCh_plate1_G05_S77,CH_Plate1_5G,T144897,T1513,5C,Feather River Hatchery Fall,114,Fall
DPCh_plate1_G06_S78,CH_Plate1_6G,T144952,T1513,12B,Feather River Hatchery Fall,116,Fall
DPCh_plate1_G07_S79,CH_Plate1_7G,T145140,T1515,11F,Feather River Hatchery Spring,122,Spring
DPCh_plate1_G08_S80,CH_Plate1_8G,T145149,T1515,12G,Feather River Hatchery Spring,84.6,Spring
DPCh_plate1_G09_S81,CH_Plate1_9G,T144974,T1514,2H,Trinity River Hatchery Spring,55.2,Spring
DPCh_plate1_G10_S82,CH_Plate1_10G,T144997,T1514,5G,Trinity River Hatchery Spring,76.2,Spring
DPCh_plate1_G11_S83,CH_Plate1_11G,T145189,T1516,5G,Trinity River Hatchery Fall,44.4,Fall
DPCh_plate1_G12_S84,CH_Plate1_12G,T145242,T1516,12D,Trinity River Hatchery Fall,69.4,Fall
DPCh_plate1_H01_S85,CH_Plate1_1H,T144798,T1512,4H,Salmon River Fall,55.4,Fall
DPCh_plate1_H02_S86,CH_Plate1_2H,T144861,T1512,12G,Salmon River Fall,30.6,Fall
DPCh_plate1_H03_S87,CH_Plate1_3H,T145117,T1515,8G,Salmon River Spring,5.56,Spring
DPCh_plate1_H04_S88,CH_Plate1_4H,T145126,T1515,9H,Salmon River Spring,7.3,Spring
DPCh_plate1_H05_S89,CH_Plate1_5H,T144902,T1513,5H,Feather River Hatchery Fall,166,Fall
DPCh_plate1_H06_S90,CH_Plate1_6H,T144958,T1513,12H,Feather River Hatchery Fall,83.4,Fall
