path	kb
data/chinook_WGS_Berkeley_raw/DPCh_plate1_C07_S31_R2_001.fastq.gz	477715.3
data/chinook_WGS_Berkeley_raw/DPCh_plate1_C08_S32_R1_001.fastq.gz	1162694.0
data/chinook_WGS_Berkeley_raw/DPCh_plate1_C08_S32_R2_001.fastq.gz	1306238.2
data/chinook_WGS_Berkeley_raw/DPCh_plate1_C09_S33_R1_001.fastq.gz	1302896.3
data/chinook_WGS_Berkeley_raw/DPCh_plate1_C09_S33_R2_001.fastq.gz	1521410.6
data/chinook_WGS_Berkeley_raw/DPCh_plate1_C10_S34_R1_001.fastq.gz	1639945.2
data/chinook_WGS_Berkeley_raw/DPCh_plate1_C10_S34_R2_001.fastq.gz	1868489.0
data/chinook_WGS_Berkeley_raw/DPCh_plate1_C11_S35_R1_001.fastq.gz	1165150.7
data/chinook_WGS_Berkeley_raw/DPCh_plate1_C11_S35_R2_001.fastq.gz	1367272.4
data/chinook_WGS_Berkeley_raw/DPCh_plate1_C12_S36_R1_001.fastq.gz	1200150.2
data/chinook_WGS_Berkeley_raw/DPCh_plate1_C12_S36_R2_001.fastq.gz	1412553.9
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D01_S37_R1_001.fastq.gz	908223.8
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D01_S37_R2_001.fastq.gz	1017818.7
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D02_S38_R1_001.fastq.gz	1416632.8
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D02_S38_R2_001.fastq.gz	1573452.5
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D03_S39_R1_001.fastq.gz	816392.8
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D03_S39_R2_001.fastq.gz	892231.4
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D04_S40_R1_001.fastq.gz	1018434.4
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D04_S40_R2_001.fastq.gz	1088851.2
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D05_S41_R1_001.fastq.gz	1205479.2
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D05_S41_R2_001.fastq.gz	1401316.6
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D06_S42_R1_001.fastq.gz	974697.5
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D06_S42_R2_001.fastq.gz	1082854.6
data/chinook_WGS_Berkeley_raw/DPCh_plate1_D07_S43_R1_001.fastq.gz	1065578.1
