sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
56	1	clam	hc	ILLUMINA	clam56	56	56	all_samples_raw/QOE2503236-5UDI418-7UDI414_20250329164537412010.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI418-7UDI414_20250329164537412010.R2.fastq.gz	215327	252200
57	1	clam	hc	ILLUMINA	clam57	57	57	all_samples_raw/QOE2503236-5UDI418-7UDI415_20250329164537412014.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI418-7UDI415_20250329164537412014.R2.fastq.gz	269016	300328
58	1	clam	hc	ILLUMINA	clam58	58	58	all_samples_raw/QOE2503236-5UDI418-7UDI417_20250329164537412017.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI418-7UDI417_20250329164537412017.R2.fastq.gz	239844	263896
59	1	clam	hc	ILLUMINA	clam59	59	59	all_samples_raw/QOE2503236-5UDI418-7UDI418_20250329164537412021.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI418-7UDI418_20250329164537412021.R2.fastq.gz	284574	322167
60	1	clam	hc	ILLUMINA	clam60	60	60	all_samples_raw/QOE2503236-5UDI418-7UDI419_20250329164537412024.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI418-7UDI419_20250329164537412024.R2.fastq.gz	164261	189463
61	1	clam	hc	ILLUMINA	clam61	61	61	all_samples_raw/QOE2503236-5UDI418-7UDI421_20250329164537412027.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI418-7UDI421_20250329164537412027.R2.fastq.gz	264713	305155
62	1	clam	hc	ILLUMINA	clam62	62	62	all_samples_raw/QOE2503236-5UDI418-7UDI423_20250329164537412031.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI418-7UDI423_20250329164537412031.R2.fastq.gz	245291	282089
63	1	clam	hc	ILLUMINA	clam63	63	63	all_samples_raw/QOE2503236-5UDI419-7UDI411_20250329164537412034.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI419-7UDI411_20250329164537412034.R2.fastq.gz	150980	176638
64	1	clam	hc	ILLUMINA	clam64	64	64	all_samples_raw/QOE2503236-5UDI419-7UDI414_20250329164537412037.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI419-7UDI414_20250329164537412037.R2.fastq.gz	187470	230014
65	1	clam	hc	ILLUMINA	clam65	65	65	all_samples_raw/QOE2503236-5UDI419-7UDI415_20250329164537412041.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI419-7UDI415_20250329164537412041.R2.fastq.gz	225731	259843
66	1	clam	hc	ILLUMINA	clam66	66	66	all_samples_raw/QOE2503236-5UDI419-7UDI417_20250329164537412044.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI419-7UDI417_20250329164537412044.R2.fastq.gz	185585	214875
67	1	clam	hc	ILLUMINA	clam67	67	67	all_samples_raw/QOE2503236-5UDI419-7UDI418_20250329164537412047.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI419-7UDI418_20250329164537412047.R2.fastq.gz	284548	337486
68	1	clam	hc	ILLUMINA	clam68	68	68	all_samples_raw/QOE2503236-5UDI419-7UDI419_20250329164537412050.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI419-7UDI419_20250329164537412050.R2.fastq.gz	177239	218067
69	1	clam	hc	ILLUMINA	clam69	69	69	all_samples_raw/QOE2503236-5UDI419-7UDI421_20250329164537412054.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI419-7UDI421_20250329164537412054.R2.fastq.gz	271284	330695
70	1	clam	hc	ILLUMINA	clam70	70	70	all_samples_raw/QOE2503236-5UDI419-7UDI423_20250329164537412057.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI419-7UDI423_20250329164537412057.R2.fastq.gz	282173	339013
71	1	clam	hc	ILLUMINA	clam71	71	71	all_samples_raw/QOE2503236-5UDI421-7UDI411_20250329164537412060.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI421-7UDI411_20250329164537412060.R2.fastq.gz	222263	256948
72	1	clam	hc	ILLUMINA	clam72	72	72	all_samples_raw/QOE2503236-5UDI421-7UDI414_20250329164537412064.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI421-7UDI414_20250329164537412064.R2.fastq.gz	76859	90605
73	1	clam	hc	ILLUMINA	clam73	73	73	all_samples_raw/QOE2503236-5UDI421-7UDI415_20250329164537412067.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI421-7UDI415_20250329164537412067.R2.fastq.gz	203332	230401
74	1	clam	hc	ILLUMINA	clam74	74	74	all_samples_raw/QOE2503236-5UDI421-7UDI418_20250329164537412070.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI421-7UDI418_20250329164537412070.R2.fastq.gz	220000	253000
75	1	clam	hc	ILLUMINA	clam75	75	75	all_samples_raw/QOE2503236-5UDI421-7UDI421_20250329164537412074.R1.fastq.gz	all_samples_raw/QOE2503236-5UDI421-7UDI421_20250329164537412074.R2.fastq.gz	195276	228871
